fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fight_url
7740,3870,4001.0,0,74,26,73,25,0.0,0.0,1,0,,http://ufcstats.com/fight-details/939cc30f07131724
7739,3870,310.0,0,216,129,150,71,2.0,1.0,1,0,,http://ufcstats.com/fight-details/939cc30f07131724
7738,3869,1621.0,0,109,53,91,35,3.0,1.0,0,0,,http://ufcstats.com/fight-details/edcf1d6a1bd8acc7
7737,3869,1364.0,0,147,50,141,44,1.0,0.0,0,0,,http://ufcstats.com/fight-details/edcf1d6a1bd8acc7
7736,3868,3008.0,0,30,10,30,10,1.0,1.0,1,0,,http://ufcstats.com/fight-details/13d2b7aef67cb6ea
7735,3868,2580.0,0,49,14,49,14,0.0,0.0,0,0,,http://ufcstats.com/fight-details/13d2b7aef67cb6ea
7734,3867,971.0,0,15,11,6,2,0.0,0.0,0,1,,http://ufcstats.com/fight-details/a5e240bcd7731725
7733,3867,3963.0,0,4,0,4,0,1.0,1.0,1,0,,http://ufcstats.com/fight-details/a5e240bcd7731725
7732,3866,3120.0,1,56,28,54,26,0.0,0.0,0,0,,http://ufcstats.com/fight-details/02b39d683f027517
7731,3866,2885.0,0,26,13,24,11,3.0,0.0,0,0,,http://ufcstats.com/fight-details/02b39d683f027517
7730,3865,2589.0,0,87,57,52,31,6.0,6.0,2,0,,http://ufcstats.com/fight-details/9e75fbe17a35f272
7729,3865,3420.0,0,43,32,14,3,0.0,0.0,0,0,,http://ufcstats.com/fight-details/9e75fbe17a35f272
7728,3864,1571.0,0,79,28,79,28,4.0,0.0,1,0,,http://ufcstats.com/fight-details/30a2c7e5b90e6d74
7727,3864,773.0,0,102,44,102,44,1.0,1.0,0,0,,http://ufcstats.com/fight-details/30a2c7e5b90e6d74
7726,3863,1584.0,0,40,20,40,20,2.0,1.0,0,0,,http://ufcstats.com/fight-details/b5268a0c2df32a24
7725,3863,2671.0,0,25,12,25,12,0.0,0.0,0,0,,http://ufcstats.com/fight-details/b5268a0c2df32a24
7724,3862,1284.0,0,104,48,92,38,0.0,0.0,0,0,,http://ufcstats.com/fight-details/6b5fe10e6e7d160a
7723,3862,1096.0,0,119,50,117,49,3.0,1.0,0,0,,http://ufcstats.com/fight-details/6b5fe10e6e7d160a
7722,3861,2360.0,1,116,62,93,43,8.0,1.0,0,0,,http://ufcstats.com/fight-details/689116759885e4a5
7721,3861,225.0,0,141,91,84,45,2.0,1.0,0,0,,http://ufcstats.com/fight-details/689116759885e4a5
7720,3860,1996.0,0,165,86,160,82,1.0,1.0,0,0,,http://ufcstats.com/fight-details/e4795ab9bdd6fb38
7719,3860,2439.0,1,131,55,119,48,4.0,0.0,0,0,,http://ufcstats.com/fight-details/e4795ab9bdd6fb38
7718,3859,3504.0,0,136,78,83,36,3.0,3.0,0,0,,http://ufcstats.com/fight-details/f1afa75c8d492550
7717,3859,1849.0,2,107,50,91,42,0.0,0.0,0,0,,http://ufcstats.com/fight-details/f1afa75c8d492550
7716,3858,2507.0,0,161,115,92,55,9.0,4.0,0,0,,http://ufcstats.com/fight-details/ad0bac98558900af
7715,3858,3888.0,0,97,48,84,36,6.0,2.0,0,0,,http://ufcstats.com/fight-details/ad0bac98558900af
7714,3857,2070.0,0,54,46,28,20,9.0,7.0,2,0,,http://ufcstats.com/fight-details/dad034faf3d62cb9
7713,3857,1545.0,0,49,34,34,20,2.0,0.0,1,0,,http://ufcstats.com/fight-details/dad034faf3d62cb9
7712,3856,3096.0,1,139,73,129,63,0.0,0.0,0,0,,http://ufcstats.com/fight-details/24411c5356903d11
7711,3856,3403.0,0,213,103,172,69,3.0,2.0,1,0,,http://ufcstats.com/fight-details/24411c5356903d11
7710,3855,2080.0,0,17,8,11,3,1.0,1.0,1,0,,http://ufcstats.com/fight-details/8eaa23d64c20b0f1
